timestamp,equity,cash,safety_state,exposure_scale,dd_asof,ath_asof,overlay_reason,target_gross_exposure,actual_gross_exposure
2021-03-16,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-17,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-18,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-19,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-20,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-21,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-22,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-23,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-24,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-25,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-26,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-27,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-28,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-29,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-30,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-31,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-04-01,1998.6591198890535,1566.65,NORMAL,1.0,0.0,2000.0,,0.5,0.2161
2021-04-02,2005.8000000000002,2005.8000000000002,NORMAL,1.0,-0.00067,2000.0,,0.0,0.0
2021-04-03,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-04,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-05,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-06,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-07,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-08,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-09,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-10,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-11,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-12,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-13,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-14,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-15,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-16,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-17,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-18,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-19,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-20,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-21,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-22,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-23,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-24,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-25,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-26,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-27,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-28,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-29,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-30,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-05-01,2004.6019473464266,1567.4500000000003,NORMAL,1.0,0.0,2005.8,,0.5,0.2181
