import time: self [us] | cumulative | imported package
import time:       424 |        424 |           pandas._libs.tslib
import time:       118 |        118 |             pandas.core.array_algos.datetimelike_accumulations
import time:       976 |       1094 |           pandas.core.arrays.datetimelike
import time:       148 |        148 |           pandas.core.arrays._ranges
import time:       121 |        121 |           pandas.tseries.offsets
import time:       763 |       2547 |         pandas.core.arrays.datetimes
import time:       453 |        453 |           pandas.core.arrays.timedeltas
import time:       623 |       1076 |         pandas.core.arrays.interval
import time:       475 |        475 |         pandas.core.arrays.period
import time:       434 |        434 |               pandas._libs.sparse
import time:       634 |       1067 |             pandas.core.arrays.sparse.array
import time:       315 |       1382 |           pandas.core.arrays.sparse.accessor
import time:       137 |       1518 |         pandas.core.arrays.sparse
import time:       385 |        385 |         pandas.core.arrays.string_arrow
import time:       295 |      64535 |       pandas.core.arrays
import time:       159 |        159 |       pandas.core.flags
import time:       429 |        429 |             pandas._libs.internals
import time:       116 |        116 |               pandas.core._numba
import time:       129 |        129 |               pandas.core.util.numba_
import time:       255 |        499 |             pandas.core._numba.executor
import time:       857 |       1784 |           pandas.core.apply
import time:       197 |        197 |             pandas.errors.cow
import time:       259 |        259 |                     _json
import time:       416 |        675 |                   json.scanner
import time:       511 |       1185 |                 json.decoder
import time:       378 |        378 |                 json.encoder
import time:       297 |       1859 |               json
import time:       251 |        251 |                 pandas._libs.indexing
import time:       111 |        111 |                   pandas.core.indexes
import time:       790 |        790 |                     pandas._libs.index
import time:       315 |        315 |                     pandas._libs.writers
import time:       418 |        418 |                     pandas._libs.join
import time:       160 |        160 |                     pandas.core.array_algos.putmask
import time:       183 |        183 |                     pandas.core.indexes.frozen
import time:       758 |        758 |                     pandas.core.strings.accessor
import time:      1903 |       4525 |                   pandas.core.indexes.base
import time:       306 |        306 |                     pandas.core.indexes.extension
import time:       510 |        816 |                   pandas.core.indexes.category
import time:       595 |        595 |                       pandas.core.indexes.range
import time:       125 |        125 |                         pandas.core.tools
import time:       245 |        369 |                       pandas.core.tools.timedeltas
import time:      5201 |       6165 |                     pandas.core.indexes.datetimelike
import time:       265 |        265 |                     pandas.core.tools.times
import time:       744 |       7173 |                   pandas.core.indexes.datetimes
import time:      1138 |       1138 |                     pandas.core.indexes.multi
import time:       468 |        468 |                     pandas.core.indexes.timedeltas
import time:       677 |       2283 |                   pandas.core.indexes.interval
import time:       486 |        486 |                   pandas.core.indexes.period
import time:       394 |      15784 |                 pandas.core.indexes.api
import time:       948 |      16982 |               pandas.core.indexing
import time:       165 |        165 |               pandas.core.sample
import time:       159 |        159 |               pandas.core.array_algos.replace
import time:       842 |        842 |                   pandas.core.internals.blocks
import time:       235 |       1076 |                 pandas.core.internals.api
import time:       400 |        400 |                     pandas.core.internals.ops
import time:       954 |       1353 |                   pandas.core.internals.managers
import time:       337 |       1689 |                 pandas.core.internals.concat
import time:       165 |       2929 |               pandas.core.internals
import time:       121 |        121 |                 pandas.core.methods
import time:        96 |         96 |                   pandas.core.reshape
import time:       370 |        465 |                 pandas.core.reshape.concat
import time:       370 |        370 |                     gzip
import time:       259 |        259 |                     mmap
import time:      1043 |       1043 |                     tarfile
import time:       260 |        260 |                         zipfile._path.glob
import time:       446 |        705 |                       zipfile._path
import time:       824 |       1529 |                     zipfile
import time:      1586 |       4784 |                   pandas.io.common
import time:      1029 |       5813 |                 pandas.io.formats.format
import time:       362 |       6759 |               pandas.core.methods.describe
import time:       152 |        152 |               pandas.core.shared_docs
import time:        96 |         96 |                     pandas._libs.window
import time:       598 |        693 |                   pandas._libs.window.aggregations
import time:       358 |        358 |                     pandas._libs.window.indexers
import time:       289 |        647 |                   pandas.core.indexers.objects
import time:       191 |        191 |                   pandas.core.window.common
import time:       201 |        201 |                   pandas.core.window.numba_
import time:       165 |        165 |                   pandas.core.window.online
import time:       840 |        840 |                   pandas.core.window.rolling
import time:       523 |       3257 |                 pandas.core.window.ewm
import time:       271 |        271 |                 pandas.core.window.expanding
import time:       139 |       3665 |               pandas.core.window
import time:      2396 |      35062 |             pandas.core.generic
import time:       359 |        359 |             pandas.core.internals.construction
import time:       294 |        294 |             pandas.core.methods.selectn
import time:       192 |        192 |               pandas.core.tools.numeric
import time:       233 |        424 |             pandas.core.reshape.melt
import time:       375 |        375 |               pandas._libs.reshape
import time:       643 |        643 |               pandas.core.indexes.accessors
import time:       125 |        125 |                 pandas.arrays
import time:       702 |        827 |               pandas.core.tools.datetimes
import time:       744 |        744 |               pandas.io.formats.info
import time:       343 |        343 |                 pandas.plotting._core
import time:       213 |        213 |                 pandas.plotting._misc
import time:       164 |        719 |               pandas.plotting
import time:      2413 |       5719 |             pandas.core.series
import time:      3830 |      45882 |           pandas.core.frame
import time:       971 |        971 |           pandas.core.groupby.base
import time:       805 |        805 |             pandas._libs.groupby
import time:       206 |        206 |             pandas.core.groupby.numba_
import time:       109 |        109 |                 pandas.core.groupby.categorical
import time:       382 |        491 |               pandas.core.groupby.grouper
import time:       703 |       1193 |             pandas.core.groupby.ops
import time:       245 |        245 |             pandas.core.groupby.indexing
import time:      1281 |       3729 |           pandas.core.groupby.groupby
import time:      1317 |      53680 |         pandas.core.groupby.generic
import time:       133 |      53813 |       pandas.core.groupby
import time:       315 |     132522 |     pandas.core.api
import time:       114 |        114 |     pandas.tseries.api
import time:        96 |         96 |             pandas.core.computation.common
import time:       186 |        281 |           pandas.core.computation.align
import time:      3545 |       3545 |               pprint
import time:       324 |       3868 |             pandas.core.computation.scope
import time:       467 |       4334 |           pandas.core.computation.ops
import time:       212 |       4826 |         pandas.core.computation.engines
import time:       283 |        283 |           pandas.core.computation.parsing
import time:      1083 |       1366 |         pandas.core.computation.expr
import time:       191 |       6381 |       pandas.core.computation.eval
import time:        98 |       6479 |     pandas.core.computation.api
import time:       228 |        228 |       pandas.core.reshape.encoding
import time:       791 |        791 |       pandas.core.reshape.merge
import time:       345 |        345 |       pandas.core.reshape.pivot
import time:       250 |        250 |       pandas.core.reshape.tile
import time:       196 |       1807 |     pandas.core.reshape.api
import time:       154 |        154 |       pandas.api.executors
import time:       116 |        116 |       pandas.api.extensions
import time:       103 |        103 |       pandas.api.indexers
import time:        86 |         86 |           pandas.core.interchange
import time:       927 |       1012 |         pandas.core.interchange.dataframe_protocol
import time:       166 |        166 |           pandas.core.interchange.utils
import time:       290 |        455 |         pandas.core.interchange.from_dataframe
import time:       122 |       1588 |       pandas.api.interchange
import time:       126 |        126 |         pandas.core.dtypes.api
import time:       138 |        263 |       pandas.api.types
import time:       879 |        879 |         pandas.core.resample
import time:       229 |        229 |               pandas._libs.json
import time:       211 |        211 |               pandas.io.json._normalize
import time:       215 |        215 |               pandas.io.json._table_schema
import time:       526 |        526 |                     pandas._libs.parsers
import time:       553 |        553 |                       pandas.io.parsers.base_parser
import time:       275 |        827 |                     pandas.io.parsers.arrow_parser_wrapper
import time:       238 |        238 |                     pandas.io.parsers.c_parser_wrapper
import time:       642 |        642 |                     pandas.io.parsers.python_parser
import time:       907 |       3138 |                   pandas.io.parsers.readers
import time:       123 |       3260 |                 pandas.io.parsers
import time:        29 |       3289 |               pandas.io.parsers.readers
import time:       813 |       4754 |             pandas.io.json._json
import time:       142 |       4895 |           pandas.io.json
import time:        30 |       4925 |         pandas.io.json._json
import time:       257 |        257 |             pandas.io.sas.sasreader
import time:       148 |        404 |           pandas.io.sas
import time:        33 |        436 |         pandas.io.sas.sasreader
import time:      1299 |       1299 |         pandas.io.stata
import time:       227 |       7765 |       pandas.api.typing
import time:       250 |      10237 |     pandas.api
import time:       113 |        113 |           concurrent
import time:      1564 |       1564 |             logging
import time:       514 |       2077 |           concurrent.futures._base
import time:       250 |        250 |           _interpreters
import time:       189 |       2627 |         concurrent.futures
import time:       304 |        304 |         concurrent.futures.thread
import time:       211 |        211 |         pandas._testing._io
import time:       225 |        225 |         pandas._testing._warnings
import time:       229 |        229 |             cmath
import time:       415 |        643 |           pandas._libs.testing
import time:       572 |       1215 |         pandas._testing.asserters
import time:       124 |        124 |         pandas._testing.compat
import time:       184 |        184 |         pandas._testing.contexts
import time:       706 |       5593 |       pandas._testing
import time:       115 |       5708 |     pandas.testing
import time:       165 |        165 |     pandas.util._print_versions
import time:      1445 |       1445 |       pandas.io.clipboards
import time:       187 |        187 |           pandas.io.excel._util
import time:       266 |        266 |           pandas.io.excel._calamine
import time:       289 |        289 |           pandas.io.excel._odfreader
import time:       405 |        405 |           pandas.io.excel._openpyxl
import time:       175 |        175 |           pandas.io.excel._pyxlsb
import time:       217 |        217 |           pandas.io.excel._xlrd
import time:       715 |       2251 |         pandas.io.excel._base
import time:       243 |        243 |         pandas.io.excel._odswriter
import time:       290 |        290 |         pandas.io.excel._xlsxwriter
import time:       178 |       2961 |       pandas.io.excel
import time:       155 |        155 |       pandas.io.feather_format
import time:       718 |        718 |       pandas.io.html
import time:       198 |        198 |       pandas.io.iceberg
import time:       181 |        181 |       pandas.io.orc
import time:       329 |        329 |       pandas.io.parquet
import time:       205 |        205 |         pandas.compat.pickle_compat
import time:       185 |        390 |       pandas.io.pickle
import time:       501 |        501 |         pandas.core.computation.pytables
import time:      2206 |       2706 |       pandas.io.pytables
import time:       137 |        137 |       pandas.io.spss
import time:       915 |        915 |       pandas.io.sql
import time:       292 |        292 |       pandas.io.xml
import time:       302 |      10724 |     pandas.io.api
import time:       111 |        111 |     pandas.util._tester
import time:        88 |         88 |     pandas._version_meson
import time:       473 |     246115 |   pandas
import time:      1407 |       1407 |             typing_extensions
import time:       787 |        787 |             pydantic_core._pydantic_core
import time:     12919 |      12919 |             pydantic_core.core_schema
import time:       666 |      15777 |           pydantic_core
import time:       239 |      16016 |         pydantic.version
import time:       404 |      16419 |       pydantic.warnings
